Fármaco(s),Forma Farmacéutica,Concentración,Fracción (Art. 226 LGS),Denominación Distintiva,Registro Sanitario,Titular,Indicación terapéutica
SITAGLIPTINA / METFORMINA,Tableta (Liberación prolongada),"50 mg / 500 mg;
50 mg / 1000 mg   y
100 mg / 1000 mg",IV,JANUMET  XR,157M2014 SSA,MERCK SHARP & DOHME B.V.,Para el tratamiento de la diabetes mellitus tipo 2.
"SOLIFENACINA, Succinato de",Tableta,5 mg  y  10 mg,IV,VESICARE,628M2005 SSA,ASTELLAS PHARMA EUROPE B.V.,Tratamiento sintomático del síndrome de vejiga hiperactiva.
"SORAFENIB, Tosilato de",Comprimido,200 mg,IV,NEXAVAR,082M2006 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Tratamiento de cáncer renal. Tratamiento de carcinoma hepatocelular.
SUCRALFATO,Tableta,1062.50 mg,IV,UNIVAL,182M98 SSA,"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Para el tratamiento de la úlcera péptica gástrica y duodenal.
SUGAMMADEX,Solución (Inyectable),2 mL (100 mg / mL)  y 5 mL (100 mg / mL),IV,BRIDION,176M2011 SSA,MERCK SHARP & DOHME B.V.,Reversión del bloqueo neuromuscular inducido por rocuronio o vecuronio.
SULBUTIAMINA,Comprimido,200 mg,IV,ARCALION,538M2004 SSA,LES LABORATOIRES SERVIER INDUSTRIE,Auxiliar en el tratamiento de la astenia de diversas etiologías.
SULFACETAMIDA sódica,Solución,100 mg/ 1 mL,IV,SULFACETAMID OFTENO,34313 SSA,"LABORATORIOS SOPHIA, S.A. DE C.V.",Antimicrobiano de uso oftálmico.
"SULFADIAZINA DE PLATA,
(Micronizada)",Suspensión,1 g/100 mL.,IV,ARGENTAFIL,013M2008 SSA,"LABORATORIOS GROSSMAN, S.A.",Piodermitis.
SULFAMETOXAZOL / TRIMETOPRIMA,Solución (Inyectable),800 mg/ 160 mg/3 mL,IV,TRIMEXAZOL,84008 SSA,"LABORATORIOS GROSSMAN, S.A.",Antimicrobiano para infecciones ocasionadas por gérmenes sensibles.
SULFAMETOXAZOL / TRIMETOPRIMA,Tableta,400 mg / 80 mg,IV,BACTRIM,73349 SSA,"SIEGFRIED RHEIN, S.A. DE C.V.",Antimicrobiano para infecciones ocasionadas por gérmenes sensibles.
SULFAMETOXAZOL / TRIMETOPRIMA,Suspensión,"4000 mg / 800 mg /
100 mL",IV,BACTRIM,73362 SSA,"WESER PHARMA,S.A. DE C.V.",Antimicrobiano para infecciones ocasionadas por gérmenes sensibles.
"SULFAMETOXAZOL
/TRIMETOPRIMA",Tableta,800 mg/160 mg,IV,BACTRIM F,145M79 SSA,"SIEGFRIED RHEIN, S.A. DE C.V.",Antimicrobiano para infecciones ocasionadas por gérmenes sensibles.
SULFASALAZINA,Tableta (Liberación prolongada),500 mg,IV,AZULFIDINA,49702 SSA,"PFIZER, S.A. DE C.V.",Antirreumático. Colitis ulcerativa leve o moderada. Artritis reumatoide adulto y juvenil.
SULFATO FERROSO,Tableta,200 mg,IV,VALDEFER,53184 SSA,"LABORATORIOS VALDECASAS, S.A.",Prevención de la deficiencia de hierro y en el tratamiento de la anemia ferropénica.
SULFATO FERROSO,Solución,125 mg/1 mL,IV,VALDEFER,62058 SSA,"LABORATORIOS VALDECASAS, S.A.","Tratamiento de anemia ferropénica, estimula la producción de hemoglobina, mioglobina, diversas enzimas necesarias para procesos oxidativos celulares, anemia hipocrómica, profiláctico en niños prematuros, en época de crecimiento, con dietas especiales y durante el embarazo."
SULINDACO,Tableta,200 mg,IV,RENIDAC,012M99 SSA,"TECNOFARMA, S.A. DE C.V.","Artritis reumatoide, osteoartritis, espondilitis anquilosante, bursitis, tenosinovitis, lumbago y artritis gotosa."
SULODEXIDA,Cápsula,25 mg,IV,VESSEL DUE F,043M99 SSA,ALFASIGMA S.P.A.,"Antitrombótico. Tratar la trombosis, incluida la enfermedad tromboembólica en fase aguda o recurrente."
SULODEXIDA,Solución (Inyectable),60 mg/2 mL,IV,VESSEL DUE F,428M98 SSA,ALFASIGMA S.P.A.,"Antiagregante plaquetario, antifibrinógeno (previene o retarda la nefropatía secundaria a Diabetes Mellitus, no dependiente de Insulina por acumulación de fibrinógeno)."
"SUMATRIPTAN, Succinato de",Comprimido,50 mg,IV,IMIGRAN CINCUENTA,568M95 SSA,"GLAXOSMITHKLINE MÉXICO, S.A. DE C.V.",Antimigrañoso.
"SUMATRIPTAN, Succinato de",Comprimido,100 mg,IV,IMIGRAN,096M92 SSA,"GLAXOWELLCOME, S.A.",Antimigrañoso.
SUNITINIB,Cápsula,"12.5 mg, 25 mg, 50 mg",IV,SUTENT 28,233M2006 SSA,"PFIZER, S.A. DE C.V.",Inhibidor específico de la tirosin kinasa.
TACROLIMUS (Monohidratado),Cápsula,"0.5 mg, 1 mg y 5 mg",IV,PROGRAF,323M98 SSA,ASTELLAS IRELAND CO. LTD.,"Profilaxis del rechazo en trasplante renal, auxiliar en el tratamiento combinado con ciclosporina y corticoesteroides."
TACROLIMUS (Monohidratado),Cápsula (Liberación prolongada),"0.5 mg, 1 mg y 5 mg",IV,PROGRAF XL,055M2016 SSA,ASTELLAS IRELAND CO. LTD.,"Profilaxis del rechazo en trasplante renal, auxiliar en el tratamiento combinado con ciclosporina y corticoesteroides."
TADALAFIL,Tableta,5 mg y 20 mg,IV,CIALIS,181M2002 SSA,ELI LILLY AND COMPANY,"Disfunción eréctil, tratamiento de los síntomas urinarios bajos asociados a hipertrofia prostática benigna en pacientes con o sin disfunción eréctil."
TAFLUPROST,Solución,15 mcg / mL,IV,SAFLUTAN,241M2014 SSA,BARD PHARMACEUTICALS LIMITED,Indicado para reducir la presión intraocular elevada en el glaucoma de ángulo abierto o la hipertensión ocular.
TALIDOMIDA,Tableta,100 mg,IV,TALIZER,108M88 SSA,"SERRAL, S.A. DE C.V.",Lepra.
"TAMOXIFENO, Citrato de",Tableta,10 mg  y  20mg,IV,NOLVADEX,90749 SSA,ASTRAZENECA UK LIMITED,Para el tratamiento del cáncer de mama.
"TAMSULOSINA, Clorhidrato de",Tableta (Liberación prolongada),0.4 mg,IV,SECOTEX OCAS,170M2007 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.",Hiperplasia prostática benigna.
TANATO DE GELATINA,Polvo,250 mg,VI,TEGO,044M2010 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.","Astringente, Andiarréico."
"TAPENTADOL, Clorhidrato de",Tableta,"50 mg, 75 mg  y  100 mg",I,PALEXIA,106M2010 SSA,GRÜNENTHAL GMBH,Analgésico narcótico.
"TAPENTADOL, Clorhidrato de",Tableta (Liberación prolongada),"25 mg, 50 mg,
100 mg, 150 mg,
200 mg  y   250 mg",I,PALEXIA RETARD,066M2010 SSA,GRÜNENTHAL GMBH,Analgésico narcótico.
TELMISARTÁN / AMLODIPINO,Tableta,"40 mg / 5 mg;
40 mg / 10 mg;
80 mg / 5 mg
y  80 mg / 10 mg",IV,MICARDIS DUO,134M2012 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.",Tratamiento de la hipertensión arterial esencial.
TELMISARTAN/ HIDROCLOROTIAZIDA,Tableta,"40 mg/12.5 mg, 80 mg/12.5 mg  y 80 mg/25 mg",IV,MICARDIS PLUS,559M2001 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.",Antihipertensivo.
TEMOZOLOMIDA,Cápsula,20 mg  y  100 mg,IV,TEMODAL,210M99 SSA,MERCK SHARP & DOHME B.V.,"Glioblastoma Multiforme Recurrente o Progresivo, Glioblastoma Multiforme de reciente diagnóstico, Melanoma Metastásico avanzado. Astrocitoma anaplásico."
TENOFOVIR / ALAFENAMIDA,Tableta,25 mg,IV,VEMLIDY,386M2017 SSA,GILEAD SCIENCES IRELAND UC.,Indicado para el tratamiento de la Hepatitis B crónica en adultos y adolescentes (de 12 años de edad o mayores con un peso corporal de al menos 35 Kg).
TEOFILINA anhidra,Cápsula (Liberación prolongada),"100 mg, 200 mg   y
300 mg",IV,TEOLONG,286M87 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Broncodilatador.
"TERBINAFINA, Clorhidrato de",Crema,1 g / 100 g,VI,LAMISIL,030M93 SSA,NOVARTIS PHARMA AG,Antimicótico de amplio espectro.
"TERBINAFINA, Clorhidrato de",Tableta,250 mg,IV,LAMISIL,272M91 SSA,NOVARTIS PHARA AG,"Antimicótico, para el tratamiento de onicomicosis, tiña del cuero cabelludo, infecciones fúngicas de la piel, infecciones causadas por levaduras(genero Candida)."
TERIFLUNOMIDA,Tableta,14 mg,IV,AUBAGIO,148M2013 SSA,"SANOFI PASTEUR, S.A. DE C.V.",Para el tratamiento de la esclerosis múltiple.
TESTOSTERONA,Gel,"25 mg / 2.5 g      y
50 mg / 5 g",IV,LOWTIYEL,330M2006 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Tratamiento androgénico.
"TESTOSTERONA,
Undecanoato de",Solución (Inyectable),1000 mg / 4 mL,IV,NEBIDO,107M2011 SSA,GRÜNENTHAL GMBH,Tratamiento de sustitución hormonal.
"TESTOSTERONA, Enantato de",Solución (Inyectable),250 mg/1 mL,IV,PRIMOTESTON DEPOT,47334 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Andrógeno.
"TETRACAINA, Clorhidrato de",Solución,5 mg/1 mL,IV,PONTI OFTENO,40714 SSA,"LABORATORIOS SOPHIA, S.A. DE C.V.",Anestésico local oftálmico.
"TETRACICLINA, Clorhidrato de / CLORANFENICOL Levogiro / LIDOCAINA, Clorhidrato de / BETA - HIDROXIPROPILTEOFILINA / GUAIFENESINA",Solución (Inyectable),"75.890 mg / 50.99 mg /
23.300  mg / 46.60 mg /
33.30 mg",IV,SENOCICLIN BALSÁMICO,70624 SSA,"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Antibiótico.
"TETRIZOLINA, Clorhidrato de",Solución,0.5 mg / mL,VI,EYE-MO ROJO,6334NF SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Vasoconstrictor.
TIAMAZOL,Tableta,5mg,IV,TAPAZOL,37373 SSA,"SIEGFRIED RHEIN, S.A. DE C.V.",Para el tratamiento del hipertiroidismo.
"TIAMINA, Clorhidrato de/ PIRIDOXINA, Clorhidrato de/ CIANOCOBALAMINA / DICLOFENACO sódico/ LIDOCAÍNA",Solución (Inyectable),"100 mg / 100 mg / 1 mg /
75 mg / 20 mg y 100 mg
/ 100 mg / 5 mg / 75 mg / 20 mg",IV,DOLO-NEUROBION,022M2012 SSA,"PROCTER & GAMBLE MANUFACTURING MÉXICO,
S. DE R.L. DE C.V.","Antiinflamatorio no esteroideo, Antineurítico."
TIBOLONA,Tableta,2.5 mg,IV,LIVIAL,422M93 SSA,"SCHERING-PLOUGH, S.A. DE C.V.",Terapia de reemplazo hormonal.
TICAGRELOR,Tableta,90 mg,IV,BRILINTA,216M2011 SSA,ASTRAZENECA AB,Antiagregante plaquetario. Para la prevención de eventos trómbóticos.
TIGECICLINA,Solución (Inyectable),50 mg,IV,TYGACIL,492M2005 SSA,"PFIZER, S.A. DE C.V.",Antimicrobiano para infecciones ocasionadas por gérmenes sensibles.
"TIMOLOL, Maleato de",Solución,5 mg / mL,IV,TIMOPTOL,0313M79 SSA,BARD PHARMACEUTICALS LIMITED,Disminución de la presión intraocular elevada.
"TIOTROPIO, Bromuro de",Polvo (Para inhalación),18 µg,IV,SPIRIVA,039M2002 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.","Broncodilatador, enfermedad pulmonar obstructiva crónica."
"TIZANIDINA, Clorhidrato de",Cápsula (Liberación prolongada),6 mg,IV,SIRDALUD MR,239M90 SSA,SANDOZ GMBH,Relajante muscular.
"TIZANIDINA, Clorhidrato de",Tableta,2 mg,IV,SIRDALUD,243M89 SSA,SANDOZ GMBH,Relajante muscular
TOBRAMICINA,Solución (Para inhalación),300 mg/5 mL,IV,TOBI,161M2004 SSA,MADAUS GMBH,"Para el manejo de los pacientes con fibrosis quística (F.Q.) infectados con P. aeruginosa en niños de 6 años o más. Usado conjuntamente con la terapia habitual mejora la función pulmonar, reduce la carga bacteriana y mantiene sin infección al paciente con fibrosis quística."
TOBRAMICINA,Solución,3 mg/ 1 mL,IV,TOBREX,74M83 SSA,NOVARTIS PHARMA AG,Antimicrobiano de uso oftálmico.
TOBRAMICINA,Ungüento,3 mg / g,IV,TOBREX,095M83 SSA,NOVARTIS PHARMA AG,"Está indicado para el tratamiento de infecciones externas oculares y sus anexos cuando son provocadas por bacterias sensibles a la tobramicina. En particular a aquellas bacterias resistentes a la mayoría de los otros antibióticos, especialmente Pseudomona aeruginosa. Incluyendo, pero no limitado a las circunstancias siguientes: Conjuntivitis bacterian, Blefaritis, Blefaroconjuntivitis, Queratoconjuntivitis, Queratitis, Dacriocistitis e Intervención profiláctica pre y postoperatoria para cirugías del segmento anterior."
TOFACITINIB,Tableta,5 mg,IV,XELJANZ,105M2013 SSA,"PFIZER, S.A. DE C.V.","Tratamiento de Artritis Reumatoide (AR) activa de moderada a grave en adultos y Artritis Psoriásica activa en combinación con metotrexato, para pacientes con respuesta inadecuada o intolerancia a tratamiento previo con uno o más fármacos antirreumáticos modificadores de la enfermedad (FARME), Colitis Ulcerosa (CU) activa en adultos, de moderada a grave con respuesta insuficiente,pérdida de respuesta o intolerancia al tratamiento convencional o a un medicamento biológico."
"TOLTERODINA, L-Tartrato de",Cápsula (Liberación prolongada),4 mg,IV,DETRUSITOL SR,194M2004 SSA,ROTTAPHARM LIMITED,Para el tratamiento de la vejiga inestable.
"TOLTERODINA, L-Trartrato de",Tableta,2 mg,IV,DETRUSITOL,176M98 SSA,ROTTAPHARM LIMITED,"Antiespasmódico del tracto genitourinario, detrusor vesical."
TOPIRAMATO,Cápsula (Liberación prolongada),"25 mg, 50 mg,
100 mg   y   200 mg",IV,EXPLIGA XR,115M2018 SSA,"ESPECÍFICOS STENDHAL, S.A. DE C.V.",Monoterapia en epilepsia en pacientes de 6 años de edad y mayores como monoterapia inicial en crisis epilépticas de inicio parcial o tónico-clónicas generalizadas; tratamiento adyuvante en pacientes de 6 años de edad y mayores para crisis epilépticas de inicio parcial o tónico-clónicas generalizadas y crisis epilépticas asociada con el síndrome de Lennox-Gastaut; profilaxis de migraña en adultos y adolescentes a partir de los 12 años de edad.
TRABECTEDINA,Solución (Inyectable),1.0 mg,IV,YONDELIS,220M2009 SSA,"JANSSEN-CILAG, S.A. DE C.V.","Hipersensibilidad en pacientes adultos con sarcoma de  tejidos blandos en etapa clínica avanzada y en combinación con clorhidrato de doxorubicina liposomal pegilada (DLP) está indicado en el tratamiento de pacientes con cáncer de ovario en recaída, sensible a platino."
"TRAMADOL, Clorhidrato de",Tableta (Liberación prolongada),"50 mg, 100 mg, 150 mg
y  200 mg",IV,TRADOL RETARD,035M97 SSA,GRÜNENTHAL GMBH,Analgésico no narcótico.
"TRAMADOL, Clorhidrato de",Solución,100 mg / mL,IV,TRADOL,077M90 SSA,GRÜNENTHAL GMBH,Analgésico no narcótico.
"TRAMADOL, Clorhidrato de",Solución (Inyectable),50 mg / mL 100 mg / 2 mL,IV,TRADOL,210M88 SSA,GRÜNENTHAL GMBH,Analgésico.
"TRAMADOL, Clorhidrato de",Cápsula,50 mg,IV,TRADOL,211M88 SSA,GRÜNENTHAL GMBH,Analgésico.
"TRAMADOL, Clorhidrato de",Supositorio,100 mg,IV,PRONTOFORT,377M97 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.","Analgésico, agonista, opiáceo."
"TRAMADOL, Clorhidrato de",Cápsula (Liberación prolongada),100 mg,IV,PRONTOFORT,555M99 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Analgésico no narcótico.
"TRAMADOL, Clorhidrato de",Tableta (Liberación prolongada),150 mg  y  200 mg,IV,TRAMUNDIN,312M2016 SSA,BARD PHARMACEUTICALS LIMITED,Tratamiento del dolor moderado a severo.
TRAMADOL / DICLOFENACO,Tableta,"25 mg / 25 mg   y
50 mg / 50 mg",IV,TRADOL-DUO,191M2020 SSA,GRÜNENTHAL GMBH,Esta indicado para el alivio del dolor agudo de intensidad moderado a severo.
"TRANDOLAPRIL /
VERAPAMILO, Clorhidrato de",Tableta (Liberación prolongada),2 mg / 180 mg,IV,TARKA,245M98 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Antihipertensivo. Antianginoso.
TRAVOPROST,Solución,"0.03 mg / mL y
0.04 mg / mL",IV,TRAVATAN,163M2001 SSA,NOVARTIS PHARMA AG,Tratamiento de la presión intraocular elevada en pacientes con glaucoma de ángulo abierto e hipertensión ocular.
"TRAZODONA, Clorhidrato de",Cápsula,"25 mg, 50 mg  y
100 mg",IV,SIDERIL,446M79 SSA,"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Antidepresivo.
TRETINOINA,Gel,0.010 g /100 g,IV,RETIN-A,083M93 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Auxiliar para el tratamiento del acné.
TRETINOINA,Cápsula,10 mg,IV,VESANOID,546M96 SSA,HERBRAND PHARMACHEMICALS GMBH,Para la inducción de remisión de la leucemia promielocítica aguda.
TRETINOÍNA,Crema,"0.025 g, 0.050 g  y
0.1 g/100 g",IV,RETIN-A,81842 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Auxiliar para el tratamiento del acné vulgar.
TRIAZOLAM,Tableta,0.125 mg  y  0.25 mg,II,HALCION,89847 SSA,"PFIZER, S.A. DE C.V.",Hipnótico.
TRIBENÓSIDO / LIDOCAÍNA,Supositorio,400 mg / 40 mg,VI,PROCTO-GLYVENOL,77464 SSA,"GLAXOSMITHKLINE CONSUMER HEALTHCARE MÉXICO, S. DE R.L. DE C.V.",Antihemorroidal.
"TRIBENÓSIDO / LIDOCAÍNA,
Clorhidrato de",Crema,5 g / 2 g / 100 g,VI,PROCTO-GLYVENOL,77465 SSA,"GLAXOSMITHKLINE CONSUMER HEALTHCARE MÉXICO, S. DE R.L. DE C.V.",Antihemorroidal.
"TRIETANOLAMINA,
Salicilato de",Crema,10 g/100 g,VI,MYOFLEX,56928 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antiinflamatorio no esteroideo.
"TRIFLUOPERAZINA,
Clorhidrato de",Tableta,5 mg,III,STELAZINE,52027 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Neuroléptico.
TRIFLUSAL,Cápsula,300 mg,IV,DISGREN,376M93 SSA,"GRIMANN, S.A. DE C.V.",Antiagregante plaquetario.
"TRIHEXIFENIDILO,
Clorhidrato de",Tableta,5 mg,IV,HIPOKINON,88043 SSA,"PSICOFARMA, S.A. DE C.V.",Antiparkinsoniano.
"TRIMEBUTINA, Maleato de",Tableta,200 mg,IV,DEBRIDAT,90513 SSA,"GLAXO WELLCOME, S.A.","Dolor abdominal, síndrome de intestino irritable y espasmo intestinal."
"TRIMEBUTINA, Maleato de",Solución (Inyectable),0.050 g / 5 mL,IV,LIBERTRIM,0264M80 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.",Antiespasmódico.
"TRIMEBUTINA, Maleato de",Tableta (Liberación prolongada),300 mg,IV,TEMPOLIB,179M2011 SSA,"PRODUCTOS MEDIX, S.A. DE C.V.",Síndrome de Intestino Irritable.
"TRIMEBUTINA, Maleato de / SIMETICONA",Comprimido,"100 mg / 37.5 mg  y
200 mg / 75 mg",IV,LIBERTRIM SII,410M2008 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.","Antiflatulento, regulador de la motilidad gastrointestinal."
"TRIMETAZIDINA, Diclorhidrato de",Comprimido (Liberación prolongada),35 mg,IV,IDAPTAN MR,277M2003 SSA,LES LABORATOIRES SERVIER INDUSTRIE,"Antivertiginoso, antianginoso."
TRINITRATO DE GLICERILO,Parche,"18.7 mg y 37.4 mg
(liberando 5 mg y 10 mg
/ día, respectivamente)",IV,CARDINIT,007M86 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Vasodilatador coronario.
TRINITRATO DE GLICERILO,Parche,25 mg  y  50 mg,IV,NITRODERM TTS,110M83 SSA,SANDOZ GMBH,Antianginoso.
TRINITRATO DE GLICERILO,Parche,18 mg (0.2 mg / h)  y 36 mg (0.4 mg / h),IV,MINITRAN,074M91 SSA,"GRIMANN, S.A. DE C.V.",Vasodilatador coronario. Angina de pecho secundaria a coronariopatía.
"TRIPTORELINA, Pamoato de",Suspensión (Inyectable),3.75 mg  y  11.25 mg,IV,PAMORELIN,123M97 SSA,"ASOFARMA DE MÉXICO, S.A. DE C.V.",Inhibidor análogo sintético de gonadotropina.
"TRIPTORELINA, Acetato de",Suspensión (Inyectable),3.75 mg / mL,IV,GONAPEPTYL DEPOT,376M2008 SSA,FERRING GMBH,"Para el tratamiento del cáncer de próstata avanzado.
Inhibidor análogo sintético de gonadotropina."
TRIPTORELINA,Solución (Inyectable),96 mcg / mL,IV,GONAPEPTYL DAILY,020M2018 SSA,FERRING GMBH,"Para el tratamiento del cáncer de próstata avanzado.
Inhibidor análogo sintético de gonadotropinas."
TROXERUTINA,Tableta,300 mg,VI,TEBOVEN,73471 SSA,"SCHWABE MÉXICO, S.A. DE C.V.","Modificador de la coagulación sanguínea, auxiliar en los trastornos de la circulación venosa de miembros inferiores y varices, acompañados de dolor, inflamación o calambres nocturnos."
VALACICLOVIR,Comprimido,500 mg,IV,RAPIVIR,381M95 SSA,"GLAXO WELLCOME, S.A.",Antiviral.
VALGANCICLOVIR,Comprimido,450 mg,IV,VALCYTE,265M2002 SSA,RUBIEPHARM ARZNEIMITTEL GMBH,Antiviral.Prevención de infecciones por citomegalovirus. En pacientes sometidos a trasplante de órgano sólido.
VALPROATO DE MAGNESIO,Granulado,200 mg  y  400 mg,IV,ATEMPERATOR G,224M2000 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.","Antiepiléptico. Profilaxis en migraña. Estabilizador del ánimo en comportamientos agresivos, destructivos y estados de agitación. Episodio maniaco asociado a enfermedad bipolar."
VALPROATO DE MAGNESIO,Tableta,400 mg,IV,ATEMPERATOR 400,88747 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.","Antiepiléptico. Estabilizador del ánimo en comportamientos agresivos, destructivos y estados de agitación."
VALPROATO DE MAGNESIO,Suspensión,4 g/100 mL,IV,ATEMPERATOR S,245M91 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Anticonvulsivante.
VALPROATO DE MAGNESIO,Tableta (Liberación prolongada),"200 mg, 300 mg  y
600 mg",IV,ATEMPERATOR LP,063M95 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Anticonvulsivante.
VALPROATO DE MAGNESIO,Tableta (Liberación retardada),200mg  y  500 mg,IV,ATEMPERATOR,78610 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.","Antiepiléptico. Para el tratamiento de síndromes epilépticos que cursan con ausencias, Mioclonías, Epilepsias fotosensibles y encefalopatías epilépticas, Casos de crisis febriles atípicas, Episodio maniaco asociado a la enfermedad bipolar, Estabilizador del ánimo en comportamientos agresivos, destructivos y estados de agitación, Profilaxis de cefaleas tipo migraña."
VALPROATO DE MAGNESIO,Solución,"10 g/ 100 mL y
20 g/100 mL",IV,ATEMPERATOR,78667 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Anticonvulsivante. Profiláctico de la migraña.
VALPROATO DE MAGNESIO,Tableta (Liberación prolongada),200 mg  y  400 mg,IV,CRIAM LP,217M2000 SSA,"PSICOFARMA, S.A. DE C.V.",Antiepiléptico.
VALSARTÁN,Comprimido,"40 mg, 80 mg,
160 mg  y  320 mg",IV,DIOVAN,013M2002 SSA,NOVARTIS PHARMA AG,"Antihipertensivo, para el tratamiento de la insuficiencia cardiaca e hipertensión arterial sistémica."
VALSARTÁN/ HIDROCLOROTIAZIDA,Comprimido,"80 mg/12.5mg, 160mg/12.5mg, 160mg/25mg, 320mg/12.5mg y 320mg/25mg",IV,CO-DIOVAN,355M98 SSA,NOVARTIS PHARMA AG,Antihipertensivo.
"VARDENAFIL, Clorhidrato trihidratado de",Tableta,"5 mg, 10 mg y 20 mg",IV,LEVITRA,214M2002 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Disfunción eréctil.
"VARENICLINA,Tartrato de",Tableta,"0.500 mg   y
1.0 mg",IV,CHAMPIX,339M2006 SSA,"PFIZER, S.A. DE C.V.",Coadyuvante en el tratamiento contra el hábito del tabaquismo.
"VENLAFAXINA, Clorhidrato de",Cápsula (Liberación prolongada),"37.5 mg, 75 mg  y
150 mg",IV,EFEXOR XR,266M98 SSA,"PFIZER, S.A. DE C.V.","Tratamiento para la depresión, incluyendo depresión con ansiedad asociada. Prevención de la recaída de un episodio de depresión o para la prevención de la recurrencia de nuevos episodios depresivos. Tratamiento de la ansiedad (trastorno de la ansiedad generalizada), incluyendo el tratamiento a largo plazo. Trastorno de ansiedad social (fobia social). Tratamiento del trastorno de ansiedad social, también conocida como fobia social, como se define en el DSM-IV (300.23), incluyendo el tratamiento a largo plazo. Tratamiento de trastorno de pánico, incluyendo tratamiento a largo plazo."
"VERAPAMILO, Clorhidrato de",Tableta,40 mg  y  80 mg,IV,DILACORAN,61769 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.","Para el tratamiento de la Enfermedad arterial coronaria, Trastornos del ritmo cardiaco e Hipertensión arterial."
"VERAPAMILO, Clorhidrato de",Tableta (Liberación prolongada),"120 mg, 180 mg  y
240 mg",IV,DILACORAN RETARD,87107 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.","Para el tratamiento de la Enfermedad arterial coronaria, Trastornos del ritmo cardiaco e Hipertensión arterial."
VIGABATRINA,Comprimido,500 mg,IV,SABRIL,460M93 SSA,SANDOZ GMBH,Anticonvulsivante.
VILDAGLIPTINA,Comprimido,50 mg,IV,GALVUS,045M2007 SSA,NOVARTIS PHARMA AG,Para el tratamiento de la diabetes mellitus tipo 2.
"VILDAGLIPTINA /
METFORMINA, Clorhidratro de",Comprimido,"50 mg / 500 mg, 50mg / 850mg  y 50mg / 1000mg",IV,GALVUS MET,180M2008 SSA,NOVARTIS PHARMA AG,Para el tratamiento de la diabetes mellitus tipo 2.
"VINORELBINA, Bitartrato de",Cápsula,"20.000 mg  y
30.000 mg",IV,NAVELBINE,625M2003 SSA,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.","Para el tratamiento del cáncer pulmonar de células no pequeñas, para el tratamiento del cáncer de mama."
VORICONAZOL,Tableta,50 mg  y  200 mg,IV,VFEND,371M2002 SSA,"PFIZER, S.A. DE C.V.",Antimicótico. Profilaxis en pacientes con alto riesgo de cursar con infecciones por Aspergillus en pacientes sometidos a trasplante de células troncales hematopoyéticas.
VORICONAZOL,Solución (Inyectable),200mg,IV,VFEND,450M2002 SSA,"PFIZER, S.A. DE C.V.",Antimicótico. Profilaxis en pacientes con alto riesgo de cursar con infecciones por Aspergillus en pacientes sometidos a trasplante de células troncales hematopoyéticas.
VORINOSTAT,Cápsula,100 mg,IV,ZOLINZA,063M2010 SSA,MERCK SHARP & DOHME B.V.,Tratamiento de linfoma cutáneo de células T.
